Category,Metric,Value,Source,Description
gem5_stats,simSeconds,3.1e-05,stats.txt,gem5 simulation statistic
gem5_stats,simTicks,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,finalTick,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,simFreq,1000000000000.0,stats.txt,gem5 simulation statistic
gem5_stats,hostSeconds,0.02,stats.txt,gem5 simulation statistic
gem5_stats,hostTickRate,1965736753.0,stats.txt,gem5 simulation statistic
gem5_stats,hostMemory,405225632.0,stats.txt,gem5 simulation statistic
gem5_stats,simInsts,5701.0,stats.txt,gem5 simulation statistic
gem5_stats,simOps,10302.0,stats.txt,gem5 simulation statistic
gem5_stats,hostInstRate,355225.0,stats.txt,gem5 simulation statistic
gem5_stats,hostOpRate,641709.0,stats.txt,gem5 simulation statistic
gem5_stats,system.clk_domain.clock,1000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.numCycles,62994.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.cpi,11.024501,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.ipc,0.090707,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.numWorkItemsStarted,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.numWorkItemsCompleted,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numInsts,5714.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numOps,10315.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numInstsNotNOP,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numOpsNotNOP,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.cpi,11.024501,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.ipc,0.090707,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numMemRefs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numFpInsts,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numIntInsts,10195.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numLoadInsts,1084.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numStoreInsts,943.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.numVecInsts,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::No_OpClass,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::IntAlu,8275.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::IntMult,6.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::IntDiv,7.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatAdd,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatCmp,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatCvt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatMult,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatMultAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatDiv,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatMisc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatSqrt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdAdd,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdAddAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdAlu,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdCmp,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdCvt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdMisc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdMult,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdMultAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdMatMultAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdShift,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdShiftAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdDiv,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdSqrt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatAdd,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatAlu,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatCmp,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatCvt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatDiv,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatMisc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatMult,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatMultAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatSqrt,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdReduceAdd,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdReduceAlu,0.0,stats.txt,gem5 simulation statistic
